ID,Cassette No.,Date,Database,Station,Language,Length,Kinyarwanda transcript,Notes
K0248484-K0248515,120,07/04/1994,MIGS; Genocide Archives; ICTR,RTLM,French,32 Pages,K0205812-K0205846,
N/A,122,06-08/04/1994,Genocide Archives; ICTR,RTLM,French,Excerpts,K0140347-K0140368,
N/A,122,06-08/04/1994,MIGS; Genocide Archives; ICTR,RTLM,English,Excerpts,K0140347-K0140368,
K0146673-K0146688,123,19/03/1994,MIGS,RTLM,French,16 pages (41.1 mins),N/A,
K0198743-K0198769,129,03-05/04/1994,MIGS; Genocide Archives; ICTR,RTLM,French,26 pages,N/A,
K0247927-K0247948,130,Unknown,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (22 pages) ,N/A,
K0146689-K0146706,131,23/05/1994,MIGS; ICTR,RTLM,English,18 Pages,K0223955-K0223982,
K0146707-K0146727,131,23/05/1994,Genocide Archives; ICTR,RTLM,French,20 Pages,K0223955-K0223982,
K0146727-K0146742,132,20/05/1994,Genocide Archives; ICTR,RTLM,French,16 Pages,K0141019-K0141047,
N/A,132,20/05/1994,MIGS; Genocide Archives; ICTR,RTLM,English,Excerpts,K0141019-K0141047,
K0146745-K0146762,133,24/05/1994,ICTR,RTLM,French,18 Pages,K0145652-K0145695,
K0113827-K0113842,134,05/06/1994,Genocide Archives; ICTR,RTLM,English,17 Pages,K0141048-K0141065,
K0113925-K0113942,134,05/06/1994,Genocide Archives; ICTR,RTLM,French,18 Pages,K0141048-K0141065,
K0198851-K0198856,135,04/06/1994,Genocide Archives; ICTR,RTLM,French,18 Pages,K0205691-K0205721,
N/A,137,28-30/06/1994,Genocide Archives; ICTR,RTLM,French,Excerpts,K0141066-K0141085,
K0198870-K0198895,137,28-30/06/1994,Genocide Archives; ICTR,RTLM,English,26 Pages,K0141066-K0141085,
K0146827- K0146838,139,24/11/1993,MIGS; ICTR,RTLM,English,12 Pages ,K0164412-K0164435,
K0146839-K0146857,141,26-29/11/1993,ICTR,RTLM,French,18 Pages,K0210846-K0210873,
K0166071-K0166089,142,29-30/11/1993,Genocide Archives; ICTR,RTLM,English,60 mins (19 pages),K0151817-K0151845,
K0159491-K0159521,142,29-30/11/1993,Genocide Archives,RTLM,French,60 mins (31 pages),K0151817-K0151845,
